date,game,player_name,cluster,line,prediction,edge,edge_pct,direction,pick,edge_score,agreement,role_flag,m8_last3,confidence,model_std,blowout_risk,best_over_odds,best_under_odds,best_odds_for_bet,imp_over_prob,imp_under_prob,model_win_prob,kelly,m1_xgb,m4_mean,m5_context,m7_matchup,n_books
2026-03-02,Los Angeles Clippers @ Golden State Warriors,Pat Spencer,C1,4.5,1.25,-3.25,72.2,UNDER,STRONG UNDER,13.9,HIGH,NORMAL,NA,97,0.279,0,112,-139,-139,0.448,0.552,1,0.5,1.2,1.2,1.43,1.35,4
2026-03-02,Los Angeles Clippers @ Golden State Warriors,Gui Santos,C1,2.5,1.25,-1.25,50,UNDER,UNDER,8.4,HIGH,NORMAL,NA,97,0.154,0.05,145,116,116,0.469,0.531,1,0.5,1.19,1.19,1.46,1.21,4
2026-03-02,Boston Celtics @ Milwaukee Bucks,Baylor Scheierman,C1,2.5,1.1,-1.4,56,UNDER,UNDER,8.9,HIGH,NORMAL,NA,91,0.427,0.27,130,-169,-169,0.409,0.591,0.999,0.4987,1.03,1.03,1.35,1.16,2
2026-03-02,San Antonio Spurs @ Philadelphia 76ers,Victor Wembanyama,C4,2.5,3.73,1.23,49.2,OVER,OVER,9.1,HIGH,NORMAL,NA,91,0.338,0.14,-170,136,-170,0.598,0.402,1,0.5,3.78,3.78,3.55,4.5,2
2026-03-02,Boston Celtics @ Milwaukee Bucks,Myles Turner,C2,0.5,1.38,0.88,176,OVER,OVER,7.6,HIGH,NORMAL,NA,88,0.278,0.04,-200,145,-200,0.62,0.38,0.998,0.497,1.42,1.42,1.24,1.89,1
2026-03-02,Los Angeles Clippers @ Golden State Warriors,Brandin Podziemski,C2,4.5,3.6,-0.9,20,UNDER,UNDER,7.4,HIGH,NORMAL,NA,82,0.35,0.56,102,-114,-114,0.482,0.518,0.995,0.4946,3.57,3.57,3.72,2.92,4
2026-03-02,Los Angeles Clippers @ Golden State Warriors,Moses Moody,C2,2,1.04,-0.96,48,UNDER,UNDER,7,HIGH,NORMAL,NA,81,0.257,0.33,171,135,135,0.464,0.536,0.999,0.4991,1.09,1.09,0.87,1.59,2
2026-03-02,Houston Rockets @ Washington Wizards,Alperen Sengun,C3,5.5,4.92,-0.58,10.5,UNDER,UNDER,6.6,HIGH,NORMAL,NA,78,0.498,0.29,115,116,116,0.501,0.499,0.878,0.3864,4.93,4.93,4.89,3.88,4
2026-03-02,Boston Celtics @ Milwaukee Bucks,Ryan Rollins,C1,4.5,1.96,-2.54,56.4,UNDER,UNDER,12.3,MED,NORMAL,NA,77,0.932,0.18,128,122,122,0.493,0.507,0.997,0.4973,1.68,1.68,3.08,1.88,4
2026-03-02,San Antonio Spurs @ Philadelphia 76ers,Tyrese Maxey,C4,7,6.13,-0.87,12.4,UNDER,UNDER,7.4,HIGH,NORMAL,NA,75,0.487,0.23,112,110,110,0.498,0.502,0.963,0.4647,6.15,6.15,6.04,5.72,2
2026-03-02,New York Knicks @ Toronto Raptors,Brandon Ingram,C4,3.5,5.62,2.12,60.6,OVER,OVER,12.1,MED,NORMAL,NA,71,0.532,0.17,-124,100,-124,0.525,0.475,1,0.5,5.59,5.59,5.75,5.44,2
2026-03-02,New York Knicks @ Toronto Raptors,Jalen Brunson,C4,5.5,7.03,1.53,27.8,OVER,OVER,9.4,MED,NORMAL,NA,71,0.536,0.11,-110,-112,-110,0.498,0.502,0.998,0.4979,7.04,7.04,6.98,6.09,2
2026-03-02,Boston Celtics @ Milwaukee Bucks,Neemias Queta,C1,1.5,0.72,-0.78,52,UNDER,UNDER,6.5,MED,NORMAL,NA,68,0.541,0.25,-105,-125,-125,0.48,0.52,0.925,0.4156,0.69,0.69,0.84,1.09,1
2026-03-02,Boston Celtics @ Milwaukee Bucks,Cam Thomas,C4,2.5,3.2,0.7,28,OVER,OVER,7.2,MED,NORMAL,NA,68,0.842,0.03,144,-189,144,0.385,0.615,0.797,0.328,3.07,3.07,3.71,4.69,1
2026-03-02,Los Angeles Clippers @ Golden State Warriors,Kris Dunn,C2,4.5,3.07,-1.43,31.8,UNDER,UNDER,9.4,MED,NORMAL,NA,67,0.598,0.5,125,128,128,0.503,0.497,0.992,0.4929,3.29,3.29,2.17,1.98,4
2026-03-02,Los Angeles Clippers @ Golden State Warriors,Darius Garland,C4,5,6.55,1.55,31,OVER,OVER,9.5,MED,NORMAL,NA,67,0.891,0.37,118,122,118,0.505,0.495,0.959,0.4621,6.61,6.61,6.31,5.55,4
2026-03-02,Los Angeles Clippers @ Golden State Warriors,Draymond Green,C3,4.5,5.69,1.19,26.4,OVER,OVER,8,MED,NORMAL,NA,67,0.744,0.34,-135,124,-135,0.563,0.437,0.945,0.4354,5.83,5.83,5.13,3.64,4
2026-03-02,Boston Celtics @ Milwaukee Bucks,Derrick White,C4,6.5,5.17,-1.33,20.5,UNDER,UNDER,8.5,MED,NORMAL,NA,63,0.805,0.46,120,118,118,0.498,0.502,0.951,0.4547,4.94,4.94,6.11,5.83,4
2026-03-02,Boston Celtics @ Milwaukee Bucks,Kevin Porter Jr.,C2,6.5,3.57,-2.93,45.1,UNDER,UNDER,13.1,LOW,NORMAL,NA,62,1.099,0.27,106,115,115,0.511,0.489,0.996,0.4963,3.36,3.36,4.39,3.18,4
2026-03-02,New York Knicks @ Toronto Raptors,Scottie Barnes,C4,5,5.74,0.74,14.8,OVER,OVER,6.2,MED,NORMAL,NA,58,0.561,0.14,122,122,122,0.5,0.5,0.906,0.4145,5.91,5.91,5.05,4.6,2
2026-03-02,Los Angeles Clippers @ Golden State Warriors,Kawhi Leonard,C4,4.5,3.33,-1.17,26,UNDER,UNDER,7.5,MED,NORMAL,NA,57,0.576,0.64,118,-150,-150,0.433,0.567,0.979,0.4737,3.39,3.39,3.07,4.35,4
2026-03-02,New York Knicks @ Toronto Raptors,Mikal Bridges,C4,3.5,3.95,0.45,12.9,OVER,OVER,6,MED,NORMAL,NA,55,0.731,0.13,-114,-113,-114,0.501,0.499,0.731,0.2122,3.71,3.71,4.92,5.37,2
2026-03-02,New York Knicks @ Toronto Raptors,Karl-Anthony Towns,C4,2.5,2.95,0.45,18,OVER,OVER,6.2,MED,NORMAL,NA,53,0.513,0.33,-114,-107,-114,0.508,0.492,0.81,0.2967,3.05,3.05,2.52,4.01,2
2026-03-02,Houston Rockets @ Washington Wizards,Reed Sheppard,C1,3.5,1.46,-2.04,58.3,UNDER,UNDER,11.2,LOW,NORMAL,NA,52,1.336,0.4,-154,120,120,0.572,0.428,0.937,0.4423,1.33,1.33,1.95,1.57,4
2026-03-02,Boston Celtics @ Milwaukee Bucks,Payton Pritchard,C2,5.5,3.56,-1.94,35.3,UNDER,UNDER,11,LOW,NORMAL,NA,52,1.099,0.48,-123,-102,-102,0.522,0.478,0.961,0.4606,3.43,3.43,4.05,3.31,4
2026-03-02,Denver Nuggets @ Utah Jazz,Isaiah Collier,C3,8.5,6.2,-2.3,27.1,UNDER,UNDER,11.8,LOW,NORMAL,NA,52,1.311,0.43,109,-138,-138,0.452,0.548,0.96,0.4524,6.2,6.2,6.21,4.48,4
2026-03-02,Houston Rockets @ Washington Wizards,Amen Thompson,C3,4.5,3.54,-0.96,21.3,UNDER,UNDER,6.4,LOW,NORMAL,NA,49,1.07,0.43,124,125,125,0.501,0.499,0.815,0.3335,3.25,3.25,4.71,4.17,4
2026-03-02,San Antonio Spurs @ Philadelphia 76ers,Stephon Castle,C2,6.5,4.5,-2,30.8,UNDER,UNDER,11,LOW,NORMAL,NA,46,1.445,0.31,-108,-118,-118,0.49,0.51,0.917,0.4095,4.08,4.08,6.2,4.19,2
