date,game,player_name,cluster,line,prediction,edge,edge_pct,direction,pick,edge_score,ag_score,agreement,role_flag,last7_vals,confidence,model_std,blowout_risk,best_over_odds,best_under_odds,best_odds_for_bet,home_ml,away_ml,imp_over_prob,imp_under_prob,model_win_prob,kelly,m1_xgb,m4_mean,m5_context,m7_matchup,n_books
2026-03-12,Philadelphia 76ers (+661) @ Detroit Pistons (-1100),Marcus Sasser,C1,3.5,1.88,-1.62,46.3,UNDER,STRONG UNDER,10,0.8,HIGH,NORMAL,1|1|1|0|4|2|1,100,0.307,0.23,140,135,135,-1100,661,0.495,0.505,1,0.5,1.92,1.92,1.74,1.37,6
2026-03-12,Phoenix Suns (-395) @ Indiana Pacers (+300),Jalen Green,C1,2.5,2.03,-0.47,18.8,UNDER,UNDER,6,0.8,HIGH,NORMAL,1|1|1|3|3|0|5,90,0.459,0.05,160,117,117,300,-395,0.455,0.545,0.847,0.3581,2.06,2.06,1.91,1.32,4
2026-03-12,Brooklyn Nets (+661) @ Atlanta Hawks (-1000),Danny Wolf,C1,3.5,2.74,-0.76,21.7,UNDER,UNDER,6.9,0.8,HIGH,NORMAL,1|5|5|2|4|2|2,89,0.438,0.27,124,-160,-160,-1000,661,0.42,0.58,0.959,0.4467,2.68,2.68,2.99,2.18,2
2026-03-12,Washington Wizards (+750) @ Orlando Magic (-1200),Alex Sarr,C1,1.5,2.48,0.98,65.3,OVER,OVER,7.2,0.8,HIGH,NORMAL,2|5|3|1|5|1|1,88,0.341,0.24,-129,-106,-129,-1200,750,0.523,0.477,0.998,0.4977,2.44,2.44,2.66,1.69,1
2026-03-12,Dallas Mavericks (-198) @ Memphis Grizzlies (+167),Taylor Hendricks,C1,2.5,1.28,-1.22,48.8,UNDER,UNDER,8.2,0.8,HIGH,NORMAL,1|4|2|0|2|2|2,88,0.395,0.09,128,-167,-167,167,-198,0.412,0.588,0.999,0.4987,1.2,1.2,1.59,1.54,1
2026-03-12,Dallas Mavericks (-198) @ Memphis Grizzlies (+167),Olivier-Maxence Prosper,C1,2.5,1.36,-1.14,45.6,UNDER,UNDER,7.9,0.8,HIGH,NORMAL,1|3|3|1|2|1|0,88,0.322,0.22,136,-179,-179,167,-198,0.398,0.602,1,0.5,1.28,1.28,1.7,1.54,1
2026-03-12,Dallas Mavericks (-198) @ Memphis Grizzlies (+167),Jaylen Wells,C1,2.5,1.52,-0.98,39.2,UNDER,UNDER,7.5,0.8,HIGH,NORMAL,3|1|0|2|1|2|0,88,0.267,0.19,-102,-127,-127,167,-198,0.474,0.526,0.999,0.4989,1.52,1.52,1.52,1.25,1
2026-03-12,Boston Celtics (+219) @ Oklahoma City Thunder (-265),Isaiah Joe,C1,2.5,1.56,-0.94,37.6,UNDER,UNDER,7.4,0.8,HIGH,NORMAL,1|3|0|0|1|3|2,88,0.222,0,152,-200,-200,-265,219,0.373,0.627,0.999,0.4985,1.56,1.56,1.55,1.19,1
2026-03-12,Philadelphia 76ers (+661) @ Detroit Pistons (-1100),Tobias Harris,C1,2.5,1.69,-0.81,32.4,UNDER,UNDER,7,0.8,HIGH,NORMAL,5|1|0|1|0|0|3,84,0.433,0.35,144,-185,-185,-1100,661,0.387,0.613,0.969,0.4558,1.8,1.8,1.23,0.95,3
2026-03-12,Brooklyn Nets (+661) @ Atlanta Hawks (-1000),Ben Saraf,C1,4.5,2.83,-1.67,37.1,UNDER,UNDER,10.3,0.8,MED,NORMAL,1|4|4|2|1|7|6,80,0.757,0.22,180,120,120,-1000,661,0.44,0.56,0.986,0.4872,2.76,2.76,3.13,2.18,5
