date,game,player_name,cluster,line,prediction,edge,edge_pct,direction,pick,edge_score,ag_score,agreement,role_flag,last7_vals,confidence,model_std,blowout_risk,best_over_odds,best_under_odds,best_odds_for_bet,home_ml,away_ml,imp_over_prob,imp_under_prob,model_win_prob,kelly,m1_xgb,m4_mean,m5_context,m7_matchup,n_books
2026-03-17,Philadelphia 76ers (+700) @ Denver Nuggets (-1100),Trendon Watford,C1,3.5,2.01,-1.49,42.6,UNDER,UNDER,9.5,0.8,HIGH,NORMAL,3|2|2|2|1|3|3,97,0.329,0.14,140,-165,-165,-1100,700,0.401,0.599,1,0.5,2,2,2.04,1.56,4
2026-03-17,Philadelphia 76ers (+700) @ Denver Nuggets (-1100),Quentin Grimes,C1,4.5,2.79,-1.71,38,UNDER,STRONG UNDER,10.4,0.8,HIGH,NORMAL,2|3|3|2|5|4|2,90,0.453,0.55,120,128,128,-1100,700,0.509,0.491,1,0.5,2.8,2.8,2.74,2.06,6
2026-03-17,Oklahoma City Thunder (-450) @ Orlando Magic (+350),Alex Caruso,C1,2.5,1.64,-0.86,34.4,UNDER,UNDER,7.2,0.8,HIGH,NORMAL,4|1|1|1|1|2|1,88,0.324,0,164,-217,-217,350,-450,0.356,0.644,0.996,0.49370000000000003,1.68,1.68,1.49,1.1,1
2026-03-17,Oklahoma City Thunder (-450) @ Orlando Magic (+350),Isaiah Hartenstein,C1,2.5,3.66,1.16,46.4,OVER,OVER,7.6,0.6,MED,NORMAL,4|4|0|5|4|2|3,77,0.91,0.07,175,101,175,350,-450,0.422,0.578,0.899,0.4206,3.6,3.6,3.91,1.72,4
2026-03-17,Cleveland Cavaliers (-460) @ Milwaukee Bucks (+360),Sam Merrill,C1,1.5,2.14,0.64,42.7,OVER,OVER,6.1,0.8,MED,NORMAL,2|3|2|2|4|5|2,74,0.575,0.08,-135,110,-135,360,-460,0.547,0.453,0.867,0.3437,2.04,2.04,2.53,1.94,3
2026-03-17,Philadelphia 76ers (+700) @ Denver Nuggets (-1100),Bruce Brown,C1,2.5,1.98,-0.52,20.8,UNDER,UNDER,6.1,0.8,HIGH,NORMAL,4|1|3|1|2|0|2,74,0.338,0.4,158,-208,-208,-1100,700,0.365,0.635,0.938,0.4045,2.04,2.04,1.76,1.32,1
2026-03-17,Phoenix Suns (+145) @ Minnesota Timberwolves (-169),Ayo Dosunmu,C1,4.5,3.32,-1.18,26.2,UNDER,UNDER,8.8,0.8,MED,NORMAL,4|4|1|2|1|7|0,70,0.628,0.38,175,-115,-115,-169,145,0.405,0.595,0.97,0.4677,3.4,3.4,3.01,1.79,6
2026-03-17,Cleveland Cavaliers (-460) @ Milwaukee Bucks (+360),Dennis Schroder,C1,3.5,4.07,0.57,16.3,OVER,OVER,6,0.6,MED,NORMAL,5|5|2|2|2|6|6,69,0.86,0.14,165,122,165,360,-460,0.456,0.544,0.746,0.296,4.08,4.08,4.05,2.01,5
2026-03-17,Philadelphia 76ers (+700) @ Denver Nuggets (-1100),Justin Edwards,C1,2.5,1.34,-1.16,46.4,UNDER,UNDER,7.9,0.8,MED,NORMAL,3|4|3|1|5|2|2,68,0.696,0,-164,125,125,-1100,700,0.583,0.417,0.952,0.4568,1.16,1.16,2.05,1.92,1
2026-03-17,Phoenix Suns (+145) @ Minnesota Timberwolves (-169),Rudy Gobert,C1,2.5,1.83,-0.67,26.8,UNDER,UNDER,6.4,0.8,HIGH,NORMAL,1|5|0|2|4|2|2,68,0.372,0.68,158,-208,-208,-169,145,0.365,0.635,0.964,0.4446,1.76,1.76,2.13,1.66,1
2026-03-17,Oklahoma City Thunder (-450) @ Orlando Magic (+350),Jevon Carter,C1,2.5,1.88,-0.62,24.8,UNDER,UNDER,6.2,0.8,MED,NORMAL,4|4|2|2|2|3|2,68,0.521,0.19,122,-159,-159,350,-450,0.423,0.577,0.883,0.3485,1.76,1.76,2.38,1.72,1
2026-03-17,San Antonio Spurs (-850) @ Sacramento Kings (+580),Dylan Harper,C1,3.5,4.07,0.57,16.3,OVER,OVER,6,0.6,MED,NORMAL,4|2|1|4|6|5|5,66,0.922,0.03,-144,120,-144,580,-850,0.565,0.435,0.732,0.173,4.08,4.08,4.02,2.04,4
2026-03-17,Phoenix Suns (+145) @ Minnesota Timberwolves (-169),Grayson Allen,C1,3.5,4.4,0.9,25.7,OVER,OVER,6.5,0.6,LOW,NORMAL,6|6|8|8|3|6|2,65,1.046,0.11,200,-115,200,-169,145,0.384,0.616,0.805,0.3538,4.24,4.24,5.04,2.94,6
2026-03-17,Oklahoma City Thunder (-450) @ Orlando Magic (+350),Cason Wallace,C1,2.5,3.61,1.11,44.4,OVER,OVER,7.6,0.6,LOW,NORMAL,8|5|3|2|1|3|7,62,1.001,0.22,215,-116,215,350,-450,0.372,0.628,0.866,0.4018,3.6,3.6,3.63,1.65,4
2026-03-17,Miami Heat (+150) @ Charlotte Hornets (-175),Tyler Herro,C1,4.5,3.79,-0.71,15.8,UNDER,UNDER,7.4,0.8,MED,NORMAL,7|3|2|5|9|3|5,59,0.981,0.3,200,-125,-125,-175,150,0.375,0.625,0.765,0.2356,3.7,3.7,4.16,2.39,6
2026-03-17,Oklahoma City Thunder (-450) @ Orlando Magic (+350),Paolo Banchero,C1,4.5,5.2,0.7,15.6,OVER,OVER,6.7,0.6,MED,NORMAL,6|3|3|7|5|7|3,58,0.914,0.42,145,128,145,350,-450,0.482,0.518,0.778,0.3124,5.24,5.24,5.04,2.58,6
2026-03-17,Miami Heat (+150) @ Charlotte Hornets (-175),Kon Knueppel,C1,3.5,2.97,-0.53,15.1,UNDER,UNDER,6.5,0.8,MED,NORMAL,5|0|4|2|2|3|3,58,0.524,0.33,142,130,130,-175,150,0.487,0.513,0.844,0.362,3.08,3.08,2.52,1.58,6
