date,game,player_name,cluster,line,prediction,edge,edge_pct,direction,pick,confidence,agreement,model_std,blowout_risk,best_over_odds,best_under_odds,best_odds_for_bet,imp_over_prob,imp_under_prob,model_win_prob,kelly,m1_xgb,m4_mean,m5_context,m7_matchup,n_books
2026-03-01,Milwaukee Bucks @ Chicago Bulls,Ryan Rollins,C1,2.5,0.76,-1.74,69.6,UNDER,STRONG UNDER,94,HIGH,0.358,0.18,-121,102,102,0.525,0.475,1,0.5,0.75,0.75,1.26,0.76,3
2026-03-01,San Antonio Spurs @ New York Knicks,Devin Vassell,C4,1.5,2.46,0.96,64,OVER,STRONG OVER,94,HIGH,0.264,0.16,-182,144,-182,0.612,0.388,0.999,0.4986,2.45,2.45,2.78,2.48,3
2026-03-01,San Antonio Spurs @ New York Knicks,Victor Wembanyama,C4,1.5,2.33,0.83,55.3,OVER,STRONG OVER,94,HIGH,0.126,0.14,-130,117,-130,0.551,0.449,0.997,0.4966,2.32,2.32,2.41,2.34,3
2026-03-01,Detroit Pistons @ Orlando Magic,Jalen Suggs,C4,1.5,2.26,0.76,50.7,OVER,STRONG OVER,94,HIGH,0.209,0.08,124,-152,124,0.425,0.575,0.994,0.4946,2.08,2.08,2.11,2.52,3
2026-03-01,Oklahoma City Thunder @ Dallas Mavericks,Max Christie,C2,2.5,1.31,-1.19,47.6,UNDER,STRONG UNDER,94,HIGH,0.207,0.25,-103,-112,-112,0.49,0.51,1,0.5,1.09,1.09,1.34,1.65,3
2026-03-01,Cleveland Cavaliers @ Brooklyn Nets,Sam Merrill,C2,3.5,1.88,-1.62,46.3,UNDER,STRONG UNDER,94,HIGH,0.298,0,132,-170,-170,0.406,0.594,1,0.5,2.1,2.1,1.97,1.54,3
2026-03-01,Philadelphia 76ers @ Boston Celtics,Jaylen Brown,C4,1.5,2.16,0.66,44,OVER,STRONG OVER,94,HIGH,0.274,0.13,-161,132,-161,0.589,0.411,0.986,0.4817,1.98,1.98,2,2.43,3
2026-03-01,San Antonio Spurs @ New York Knicks,Josh Hart,C3,1.5,0.91,-0.59,39.3,UNDER,STRONG UNDER,94,HIGH,0.12,0.26,146,-182,-182,0.386,0.614,0.975,0.4647,1.03,1.03,0.92,0.73,3
2026-03-01,Oklahoma City Thunder @ Dallas Mavericks,Jared McCain,C2,1.5,2.05,0.55,36.7,OVER,STRONG OVER,94,HIGH,0.208,0.18,126,-154,126,0.422,0.578,0.967,0.4704,2.27,2.27,2.23,1.71,3
2026-03-01,Detroit Pistons @ Orlando Magic,Cade Cunningham,C4,1.5,2.03,0.53,35.3,OVER,STRONG OVER,94,HIGH,0.178,0.01,-155,138,-155,0.591,0.409,0.961,0.4503,2.02,2.02,1.81,2.04,3
2026-03-01,Detroit Pistons @ Orlando Magic,Tristan da Silva,C2,1.5,1.04,-0.46,30.7,UNDER,STRONG UNDER,94,HIGH,0.291,0.1,-112,-111,-111,0.501,0.499,0.937,0.4335,1.04,1.04,0.64,1.04,3
2026-03-01,Milwaukee Bucks @ Chicago Bulls,Kevin Porter Jr.,C2,1.5,1.05,-0.45,30,UNDER,STRONG UNDER,94,HIGH,0.314,0.27,122,-154,-154,0.426,0.574,0.924,0.4035,0.72,0.72,0.95,1.56,3
2026-03-01,Minnesota Timberwolves @ Denver Nuggets,Julian Strawther,C2,1.5,1.06,-0.44,29.3,UNDER,STRONG UNDER,94,HIGH,0.293,0.29,124,-154,-154,0.424,0.576,0.929,0.4098,1.18,1.18,0.68,0.87,3
