date,game,player_name,cluster,line,prediction,edge,edge_pct,direction,pick,edge_score,agreement,role_flag,last7_vals,confidence,model_std,blowout_risk,best_over_odds,best_under_odds,best_odds_for_bet,home_ml,away_ml,imp_over_prob,imp_under_prob,model_win_prob,kelly,m1_xgb,m4_mean,m5_context,m7_matchup,n_books
2026-03-02,Golden State Warriors (+100) · Los Angeles Clippers (-117),Gui Santos,C1,1.5,0.48,-1.02,68,UNDER,UNDER,7.5,HIGH,NORMAL,,97,0.126,0.05,-110,-112,-112,100,-117,0.498,0.502,1,0.5,0.56,0.56,0.39,0.36,4
2026-03-02,Boston Celtics (-194) · Milwaukee Bucks (+170),Baylor Scheierman,C1,1.5,0.75,-0.75,50,UNDER,UNDER,6.5,HIGH,NORMAL,,97,0.382,0.27,-130,110,110,170,-194,0.543,0.457,0.975,0.4761,0.8,0.8,1.01,0.66,4
2026-03-02,Boston Celtics (-194) · Milwaukee Bucks (+170),Jaylen Brown,C4,1.5,2.18,0.68,45.3,OVER,OVER,6.4,HIGH,NORMAL,,97,0.305,0.13,170,140,170,170,-194,0.471,0.529,0.987,0.4897,1.98,1.98,2,2.49,4
2026-03-02,Boston Celtics (-194) · Milwaukee Bucks (+170),Cam Thomas,C4,0.5,2.36,1.86,372,OVER,STRONG OVER,11.2,HIGH,NORMAL,,88,0.265,0.03,-240,174,-240,170,-194,0.659,0.341,1,0.5,2.32,2.32,2.34,2.42,1
2026-03-02,Washington Wizards (+700) · Houston Rockets (-950),Bilal Coulibaly,C2,0.5,1.12,0.62,124,OVER,OVER,6.2,HIGH,NORMAL,,88,0.161,0,-159,122,-159,700,-950,0.577,0.423,0.981,0.4754,1.05,1.05,1.05,1.23,1
2026-03-02,Milwaukee Bucks (+170) · Boston Celtics (-194),Ryan Rollins,C1,2.5,0.75,-1.75,70,UNDER,STRONG UNDER,10.2,HIGH,NORMAL,,88,0.346,0.18,110,-146,-146,170,-194,0.445,0.555,1,0.5,0.75,0.75,1.26,0.74,1
2026-03-02,Los Angeles Clippers (-117) · Golden State Warriors (+100),Darius Garland,C4,1.5,2.62,1.12,74.7,OVER,OVER,8.2,HIGH,NORMAL,,87,0.234,0.37,105,-130,105,100,-117,0.463,0.537,1,0.5,2.62,2.62,2.59,2.62,4
2026-03-02,Houston Rockets (-950) · Washington Wizards (+700),Tari Eason,C3,2,0.89,-1.11,55.5,UNDER,UNDER,7.9,HIGH,NORMAL,,87,0.152,0.52,165,142,142,700,-950,0.477,0.523,1,0.5,1.04,1.04,0.94,0.68,4
2026-03-02,Golden State Warriors (+100) · Los Angeles Clippers (-117),Moses Moody,C2,2.5,1.44,-1.06,42.4,UNDER,UNDER,7.7,HIGH,NORMAL,,87,0.16,0.33,170,126,126,100,-117,0.456,0.544,1,0.5,1.42,1.42,1.44,1.46,4
2026-03-02,San Antonio Spurs (-230) · Philadelphia 76ers (+210),De'Aaron Fox,C4,1.5,2.33,0.83,55.3,OVER,OVER,7.1,HIGH,NORMAL,,81,0.364,0.41,108,-141,108,210,-230,0.451,0.549,0.989,0.4894,2.44,2.44,1.79,2.16,2
2026-03-02,Utah Jazz (+490) · Denver Nuggets (-550),Keyonte George,C4,1.5,2.52,1.02,68,OVER,OVER,7.8,MED,NORMAL,,77,0.435,0.25,190,115,190,490,-550,0.426,0.574,0.99,0.4924,2.28,2.28,2.74,2.89,4
2026-03-02,San Antonio Spurs (-230) · Philadelphia 76ers (+210),Victor Wembanyama,C4,1.5,2.34,0.84,56,OVER,OVER,7.1,MED,NORMAL,,71,0.425,0.14,-128,104,-128,210,-230,0.534,0.466,0.976,0.4726,2.32,2.32,2.41,2.36,2
2026-03-02,New York Knicks (-135) · Toronto Raptors (+130),Mikal Bridges,C4,1.5,2.28,0.78,52,OVER,OVER,6.9,MED,NORMAL,,71,0.595,0.13,-138,106,-138,130,-135,0.544,0.456,0.905,0.387,2.36,2.36,1.8,2.17,2
2026-03-02,Houston Rockets (-950) · Washington Wizards (+700),Reed Sheppard,C1,2.5,1.12,-1.38,55.2,UNDER,UNDER,8.9,MED,NORMAL,,67,0.863,0.4,145,134,134,700,-950,0.489,0.511,0.945,0.452,0.94,0.94,1.92,1.38,4
