date,game,player_name,cluster,line,prediction,edge,edge_pct,direction,pick,edge_score,ag_score,agreement,role_flag,last7_vals,confidence,model_std,blowout_risk,best_over_odds,best_under_odds,best_odds_for_bet,home_ml,away_ml,imp_over_prob,imp_under_prob,model_win_prob,kelly,m1_xgb,m4_mean,m5_context,m7_matchup,n_books
2026-04-09,Miami Heat (+143) @ Toronto Raptors (-170),Sandro Mamukelashvili,C1,1.5,0.11,-1.39,92.7,UNDER,UNDER,8.9,0.8,HIGH,NORMAL,,100,0.316,0.19,130,-144,-144,-170,143,0.424,0.576,1,0.5,0,0,0,0.29,5
2026-04-09,Los Angeles Lakers (+155) @ Golden State Warriors (-185),Luke Kennard,C1,2.5,0.11,-2.39,95.6,UNDER,STRONG UNDER,12,0.8,HIGH,NORMAL,,90,0.392,0.58,140,-150,-150,-185,155,0.41,0.59,1,0.5,0,0,0,0.29,6
2026-04-09,Philadelphia 76ers (+145) @ Houston Rockets (-171),Reed Sheppard,C1,2.5,0.11,-2.39,95.6,UNDER,STRONG UNDER,12,0.8,HIGH,NORMAL,,90,0.323,0.39,210,100,100,-171,145,0.392,0.608,1,0.5,0,0,0,0.29,6
2026-04-09,Los Angeles Lakers (+155) @ Golden State Warriors (-185),Jake LaRavia,C1,1.5,0.11,-1.39,92.7,UNDER,UNDER,8.9,0.8,HIGH,NORMAL,,90,0.35,0.58,-102,-110,-110,-185,155,0.491,0.509,1,0.5,0,0,0,0.29,6
2026-04-09,Philadelphia 76ers (+145) @ Houston Rockets (-171),Joel Embiid,C1,1.5,0.11,-1.39,92.7,UNDER,UNDER,8.9,0.8,HIGH,NORMAL,,90,0.378,0.53,115,-121,-121,-171,145,0.459,0.541,1,0.5,0,0,0,0.27,6
2026-04-09,Philadelphia 76ers (+145) @ Houston Rockets (-171),VJ Edgecombe,C1,1.5,0.11,-1.39,92.7,UNDER,UNDER,8.9,0.8,HIGH,NORMAL,,90,0.103,0.55,-110,-105,-105,-171,145,0.506,0.494,1,0.5,0,0,0,0.27,6
2026-04-09,Indiana Pacers (-170) @ Brooklyn Nets (+140),Jarace Walker,C1,2.5,0.11,-2.39,95.6,UNDER,STRONG UNDER,12,0.8,HIGH,NORMAL,,88,0.268,0.21,146,-192,-192,140,-170,0.382,0.618,1,0.5,0,0,0,0.28,1
2026-04-09,Los Angeles Lakers (+155) @ Golden State Warriors (-185),Gui Santos,C1,1.5,0.11,-1.39,92.7,UNDER,UNDER,8.9,0.8,HIGH,NORMAL,,88,0.318,0.06,-115,-112,-112,-185,155,0.503,0.497,1,0.5,0,0,0,0.27,1
2026-04-09,Los Angeles Lakers (+155) @ Golden State Warriors (-185),Pat Spencer,C1,1.5,0.11,-1.39,92.7,UNDER,UNDER,8.9,0.8,HIGH,NORMAL,,88,0.093,0,144,-189,-189,-185,155,0.385,0.615,1,0.5,0,0,0,0.27,1
2026-04-09,Los Angeles Lakers (+155) @ Golden State Warriors (-185),Marcus Smart,C1,1.5,0.11,-1.39,92.7,UNDER,UNDER,8.9,0.8,MED,NORMAL,,80,0.443,0.2,190,121,121,-185,155,0.432,0.568,0.999,0.4991,0,0,0,0.29,6
2026-04-09,Boston Celtics (+158) @ New York Knicks (-182),Mikal Bridges,C1,1.5,0.13,-1.37,91.3,UNDER,UNDER,8.8,0.8,MED,NORMAL,,80,0.487,0.23,-127,120,120,-182,158,0.552,0.448,0.998,0.4982,0,0,0,0.33,5
2026-04-09,Chicago Bulls (-250) @ Washington Wizards (+205),Tre Johnson,C1,2.5,0.13,-2.37,94.8,UNDER,STRONG UNDER,11.9,0.8,HIGH,NORMAL,,78,0.121,0.37,152,-200,-200,205,-250,0.373,0.627,1,0.5,0,0,0,0.32,1
2026-04-09,Indiana Pacers (-170) @ Brooklyn Nets (+140),Drake Powell,C1,1.5,0.11,-1.39,92.7,UNDER,UNDER,8.9,0.8,HIGH,NORMAL,,78,0.104,0.36,-132,102,102,140,-170,0.535,0.465,1,0.5,0,0,0,0.28,1
2026-04-09,Miami Heat (+143) @ Toronto Raptors (-170),Jamal Shead,C1,1.5,0.11,-1.39,92.7,UNDER,UNDER,8.9,0.8,HIGH,NORMAL,,78,0.287,0.51,186,-250,-250,-170,143,0.329,0.671,1,0.5,0,0,0,0.29,1
2026-04-09,Indiana Pacers (-170) @ Brooklyn Nets (+140),Jay Huff,C1,1.5,0.11,-1.39,92.7,UNDER,UNDER,8.9,0.8,HIGH,NORMAL,,78,0.313,0.43,-120,-108,-108,140,-170,0.512,0.488,1,0.5,0,0,0,0.28,1
2026-04-09,Indiana Pacers (-170) @ Brooklyn Nets (+140),Kobe Brown,C1,1.5,0.11,-1.39,92.7,UNDER,UNDER,8.9,0.8,HIGH,NORMAL,,78,0.147,0.58,130,-169,-169,140,-170,0.409,0.591,1,0.5,0,0,0,0.28,1
2026-04-09,Indiana Pacers (-170) @ Brooklyn Nets (+140),Quenton Jackson,C1,1.5,0.11,-1.39,92.7,UNDER,UNDER,8.9,0.8,HIGH,NORMAL,,78,0.268,0.41,144,-189,-189,140,-170,0.385,0.615,1,0.5,0,0,0,0.28,1
2026-04-09,Chicago Bulls (-250) @ Washington Wizards (+205),Isaac Okoro,C1,1.5,0.12,-1.38,92,UNDER,UNDER,8.9,0.8,HIGH,NORMAL,,78,0.319,0.53,136,-179,-179,205,-250,0.398,0.602,1,0.5,0,0,0,0.3,1
2026-04-09,Chicago Bulls (-250) @ Washington Wizards (+205),Leonard Miller,C1,1.5,0.12,-1.38,92,UNDER,UNDER,8.9,0.8,HIGH,NORMAL,,78,0.106,0.52,120,-156,-156,205,-250,0.427,0.573,1,0.5,0,0,0,0.3,1
2026-04-09,Boston Celtics (+158) @ New York Knicks (-182),Josh Hart,C1,1.5,0.13,-1.37,91.3,UNDER,UNDER,8.8,0.8,HIGH,NORMAL,,78,0.39,0.48,144,-189,-189,-182,158,0.385,0.615,1,0.5,0,0,0,0.33,1
2026-04-09,Boston Celtics (+158) @ New York Knicks (-182),Karl-Anthony Towns,C1,1.5,0.13,-1.37,91.3,UNDER,UNDER,8.8,0.8,MED,NORMAL,,74,0.646,0.21,145,-143,-143,-182,158,0.41,0.59,0.983,0.4793,0,0,0,0.33,3
2026-04-09,Miami Heat (+143) @ Toronto Raptors (-170),Immanuel Quickley,C1,2.5,0.11,-2.39,95.6,UNDER,UNDER,12,0.8,MED,NORMAL,,70,0.845,0.37,140,-150,-150,-170,143,0.41,0.59,0.998,0.4975,0,0,0,0.29,6
2026-04-09,Philadelphia 76ers (+145) @ Houston Rockets (-171),Kevin Durant,C1,2.5,0.11,-2.39,95.6,UNDER,UNDER,12,0.8,MED,NORMAL,,70,0.845,0.44,105,-130,-130,-171,145,0.463,0.537,0.998,0.4977,0,0,0,0.29,6
2026-04-09,Miami Heat (+143) @ Toronto Raptors (-170),Norman Powell,C1,2.5,0.11,-2.39,95.6,UNDER,UNDER,12,0.8,MED,NORMAL,,70,0.873,0.35,140,-159,-159,-170,143,0.404,0.596,0.997,0.4961,0,0,0,0.27,5
2026-04-09,Philadelphia 76ers (+145) @ Houston Rockets (-171),Paul George,C1,2.5,0.11,-2.39,95.6,UNDER,UNDER,12,0.8,MED,NORMAL,,70,0.845,0.38,105,-117,-117,-171,145,0.475,0.525,0.998,0.4978,0,0,0,0.27,6
2026-04-09,Philadelphia 76ers (+145) @ Houston Rockets (-171),Tyrese Maxey,C1,2.5,0.11,-2.39,95.6,UNDER,UNDER,12,0.8,MED,NORMAL,,70,0.681,0.6,100,-112,-112,-171,145,0.486,0.514,1,0.5,0,0,0,0.27,6
2026-04-09,Miami Heat (+143) @ Toronto Raptors (-170),Andrew Wiggins,C1,1.5,0.11,-1.39,92.7,UNDER,UNDER,8.9,0.8,MED,NORMAL,,70,0.786,0.58,155,145,145,-170,143,0.49,0.51,0.962,0.4679,0,0,0,0.27,6
2026-04-09,Miami Heat (+143) @ Toronto Raptors (-170),Davion Mitchell,C1,1.5,0.11,-1.39,92.7,UNDER,UNDER,8.9,0.8,MED,NORMAL,,70,0.569,0.37,140,-140,-140,-170,143,0.417,0.583,0.993,0.4916,0,0,0,0.27,6
2026-04-09,Miami Heat (+143) @ Toronto Raptors (-170),Ja'Kobe Walter,C1,1.5,0.11,-1.39,92.7,UNDER,UNDER,8.9,0.8,MED,NORMAL,,70,0.528,0.46,-103,-122,-122,-170,143,0.48,0.52,0.996,0.4956,0,0,0,0.29,5
2026-04-09,Philadelphia 76ers (+145) @ Houston Rockets (-171),Tari Eason,C1,1.5,0.11,-1.39,92.7,UNDER,UNDER,8.9,0.8,MED,NORMAL,,70,0.508,0.55,144,-182,-182,-171,145,0.388,0.612,0.997,0.4958,0,0,0,0.29,5
