date,game,player_name,cluster,line,prediction,edge,edge_pct,direction,pick,confidence,agreement,model_std,blowout_risk,best_over_odds,best_under_odds,best_odds_for_bet,imp_over_prob,imp_under_prob,model_win_prob,kelly,m1_xgb,m4_mean,m5_context,m7_matchup,n_books
2026-03-01,Milwaukee Bucks @ Chicago Bulls,Ryan Rollins,C1,4.5,1.85,-2.65,58.9,UNDER,STRONG UNDER,94,HIGH,0.478,0.18,-135,116,116,0.554,0.446,1,0.5,1.75,1.75,2.45,2.66,3
2026-03-01,Philadelphia 76ers @ Boston Celtics,Baylor Scheierman,C1,4.5,2.04,-2.46,54.7,UNDER,STRONG UNDER,94,HIGH,0.591,0.27,106,-130,-130,0.462,0.538,1,0.5,1.93,1.93,2.65,2.75,3
2026-03-01,Philadelphia 76ers @ Boston Celtics,Neemias Queta,C1,6.5,3.85,-2.65,40.8,UNDER,STRONG UNDER,94,HIGH,0.555,0.25,120,114,114,0.493,0.507,1,0.5,3.96,3.96,3.25,2.82,3
2026-03-01,Philadelphia 76ers @ Boston Celtics,Dominick Barlow,C1,4.5,2.82,-1.68,37.3,UNDER,STRONG UNDER,94,HIGH,0.355,0.18,128,118,118,0.489,0.511,1,0.5,2.88,2.88,2.46,2.05,3
2026-03-01,San Antonio Spurs @ New York Knicks,Josh Hart,C3,6.5,8.84,2.34,36,OVER,STRONG OVER,94,HIGH,0.46,0.26,-130,102,-130,0.533,0.467,1,0.5,8.92,8.92,8.4,8.27,3
2026-03-01,Milwaukee Bucks @ Chicago Bulls,Tre Jones,C2,2.5,3.36,0.86,34.4,OVER,STRONG OVER,94,HIGH,0.584,0.14,104,-130,104,0.464,0.536,0.93,0.4313,3.29,3.29,3.79,3.92,3
2026-03-01,Minnesota Timberwolves @ Denver Nuggets,Julian Strawther,C2,2.5,1.81,-0.69,27.6,UNDER,STRONG UNDER,94,HIGH,0.437,0.29,-154,133,133,0.586,0.414,0.943,0.4501,1.78,1.78,1.98,2.96,3
2026-03-01,Milwaukee Bucks @ Chicago Bulls,Myles Turner,C2,5.5,6.83,1.33,24.2,OVER,STRONG OVER,94,HIGH,0.761,0.04,104,-128,104,0.466,0.534,0.96,0.4608,6.78,6.78,7.14,5.08,3
2026-03-01,Minnesota Timberwolves @ Denver Nuggets,Bruce Brown,C2,3.5,4.33,0.83,23.7,OVER,STRONG OVER,94,HIGH,0.656,0.18,-141,111,-141,0.552,0.448,0.897,0.3759,4.16,4.16,5.28,4.66,3
2026-03-01,Cleveland Cavaliers @ Brooklyn Nets,Evan Mobley,C3,7.5,9.27,1.77,23.6,OVER,STRONG OVER,94,HIGH,0.44,0.18,-118,-106,-118,0.513,0.487,1,0.5,9.31,9.31,9.07,8.39,3
2026-03-01,Minnesota Timberwolves @ Denver Nuggets,Cameron Johnson,C4,3.5,4.27,0.77,22,OVER,STRONG OVER,92,HIGH,0.286,0.24,-159,124,-159,0.579,0.421,0.995,0.4935,4.29,4.29,4.18,4.41,3
2026-03-01,Cleveland Cavaliers @ Brooklyn Nets,Jaylon Tyson,C1,4.5,1.89,-2.61,58,UNDER,STRONG UNDER,91,HIGH,0.395,0,-110,-108,-108,0.502,0.498,1,0.5,1.93,1.93,1.64,2.26,2
2026-03-01,Detroit Pistons @ Orlando Magic,Jalen Suggs,C4,2.5,3.42,0.92,36.8,OVER,STRONG OVER,91,HIGH,0.425,0.08,-156,123,-156,0.576,0.424,0.985,0.4808,3.38,3.38,3.67,4.25,2
2026-03-01,Memphis Grizzlies @ Indiana Pacers,Ben Sheppard,C1,3.5,2.23,-1.27,36.3,UNDER,STRONG UNDER,91,HIGH,0.281,0.21,-104,-113,-113,0.49,0.51,1,0.5,2.2,2.2,2.39,2.34,2
