date,game,player_name,cluster,line,prediction,edge,edge_pct,direction,pick,edge_score,agreement,role_flag,m8_last3,confidence,model_std,blowout_risk,best_over_odds,best_under_odds,best_odds_for_bet,imp_over_prob,imp_under_prob,model_win_prob,kelly,m1_xgb,m4_mean,m5_context,m7_matchup,n_books
2026-03-02,Boston Celtics @ Milwaukee Bucks,Bobby Portis,C3,4.5,7.89,3.39,75.3,OVER,STRONG OVER,15.2,HIGH,NORMAL,NA,100,0.713,0.13,140,103,140,0.458,0.542,1,0.5,7.75,7.75,8.69,8.08,5
2026-03-02,Boston Celtics @ Milwaukee Bucks,Ryan Rollins,C1,4.5,1.85,-2.65,58.9,UNDER,STRONG UNDER,12.6,HIGH,NORMAL,NA,100,0.471,0.18,200,-132,-132,0.369,0.631,1,0.5,1.75,1.75,2.45,2.46,5
2026-03-02,Boston Celtics @ Milwaukee Bucks,Myles Turner,C2,4.5,6.83,2.33,51.8,OVER,STRONG OVER,12.1,HIGH,NORMAL,NA,100,0.734,0.04,125,122,125,0.497,0.503,0.999,0.4991,6.78,6.78,7.14,4.99,5
2026-03-02,Los Angeles Clippers @ Golden State Warriors,John Collins,C3,5.5,8.32,2.82,51.3,OVER,STRONG OVER,13.8,HIGH,NORMAL,NA,100,0.576,0.05,130,108,130,0.475,0.525,1,0.5,8.36,8.36,8.09,8.5,5
2026-03-02,Boston Celtics @ Milwaukee Bucks,Neemias Queta,C1,7.5,3.85,-3.65,48.7,UNDER,STRONG UNDER,14.8,HIGH,NORMAL,NA,100,0.638,0.25,130,105,105,0.471,0.529,1,0.5,3.96,3.96,3.25,2.85,5
2026-03-02,Los Angeles Clippers @ Golden State Warriors,Gui Santos,C1,5.5,2.84,-2.66,48.4,UNDER,STRONG UNDER,12.6,HIGH,NORMAL,NA,100,0.206,0.05,120,-135,-135,0.442,0.558,1,0.5,2.83,2.83,2.9,2.69,5
2026-03-02,Denver Nuggets @ Utah Jazz,Keyonte George,C4,2.5,3.3,0.8,32,OVER,OVER,7.6,HIGH,NORMAL,NA,100,0.457,0.25,200,-110,200,0.389,0.611,0.96,0.47,3.26,3.26,3.58,4.63,5
2026-03-02,Houston Rockets @ Washington Wizards,Bilal Coulibaly,C2,3.5,4.58,1.08,30.9,OVER,OVER,7.8,HIGH,NORMAL,NA,100,0.497,0,200,-122,200,0.378,0.622,0.985,0.4888,4.53,4.53,4.88,4.11,5
2026-03-02,Los Angeles Clippers @ Golden State Warriors,Pat Spencer,C1,2.5,1.07,-1.43,57.2,UNDER,UNDER,8.6,HIGH,NORMAL,NA,97,0.425,0,190,106,106,0.415,0.585,1,0.5,1.14,1.14,0.71,1.78,4
2026-03-02,Denver Nuggets @ Utah Jazz,Julian Strawther,C2,3.5,1.81,-1.69,48.3,UNDER,UNDER,9.3,HIGH,NORMAL,NA,97,0.608,0.29,200,-124,-124,0.376,0.624,0.997,0.4966,1.78,1.78,1.98,3.17,4
