date,game,player_name,cluster,line,prediction,edge,edge_pct,direction,pick,edge_score,ag_score,agreement,role_flag,last7_vals,confidence,model_std,blowout_risk,best_over_odds,best_under_odds,best_odds_for_bet,home_ml,away_ml,imp_over_prob,imp_under_prob,model_win_prob,kelly,m1_xgb,m4_mean,m5_context,m7_matchup,n_books
2026-04-03,Atlanta Hawks (-1667) @ Brooklyn Nets (+950),Ziaire Williams,C1,3.5,2.41,-1.09,31.1,UNDER,UNDER,7.5,0.8,HIGH,NORMAL,3|4|2|4|1|2|0,100,0.586,0.15,120,136,136,950,-1667,0.518,0.482,0.969,0.4731,2.39,2.39,2.5,2.91,5
2026-04-03,Orlando Magic (-263) @ Dallas Mavericks (+218),Tristan da Silva,C1,3.5,4.3,0.8,22.9,OVER,OVER,6.3,0.6,HIGH,NORMAL,2|3|6|2|3|3|2,99,0.586,0.18,142,130,142,218,-263,0.487,0.513,0.914,0.4267,4.4,4.4,3.71,3.26,5
2026-04-03,Utah Jazz (+980) @ Houston Rockets (-1800),Kevin Durant,C1,4.5,5.46,0.96,21.3,OVER,OVER,7.2,0.6,HIGH,NORMAL,3|7|3|6|4|6|5,97,0.682,0.23,130,118,130,-1800,980,0.487,0.513,0.92,0.4292,5.52,5.52,5.11,3.5,6
2026-04-03,Indiana Pacers (+780) @ Charlotte Hornets (-1350),Kon Knueppel,C1,4.5,5.37,0.87,19.3,OVER,OVER,6.2,0.6,HIGH,NORMAL,3|4|11|11|4|7|3,94,0.74,0.27,130,114,130,-1350,780,0.482,0.518,0.88,0.3938,5.24,5.24,6.11,4.46,6
2026-04-03,Atlanta Hawks (-1667) @ Brooklyn Nets (+950),Noah Clowney,C1,3.5,4.52,1.02,29.1,OVER,OVER,7.4,0.8,HIGH,NORMAL,3|6|4|2|3|7|3,90,0.335,0.47,165,-102,165,950,-1667,0.428,0.572,0.999,0.4992,4.56,4.56,4.32,3.58,5
2026-04-03,Indiana Pacers (+780) @ Charlotte Hornets (-1350),Kam Jones,C1,2.5,1.72,-0.78,31.2,UNDER,UNDER,6.4,0.8,HIGH,NORMAL,2|4|1|2|1|1|1,88,0.398,0.19,109,-141,-141,-1350,780,0.45,0.55,0.975,0.4699,1.68,1.68,1.93,2.32,1
2026-04-03,Toronto Raptors (-1000) @ Memphis Grizzlies (+640),Sandro Mamukelashvili,C1,5.5,4.63,-0.87,15.8,UNDER,UNDER,7.5,0.8,HIGH,NORMAL,3|4|7|9|4|6|6,79,0.545,0.52,190,-134,-134,640,-1000,0.376,0.624,0.945,0.4356,4.56,4.56,5.03,4.17,5
2026-04-03,Toronto Raptors (-1000) @ Memphis Grizzlies (+640),Jamal Shead,C1,2.5,1.59,-0.91,36.4,UNDER,UNDER,6.8,0.8,HIGH,NORMAL,1|1|0|0|2|0|1,78,0.514,0.53,134,-175,-175,640,-1000,0.402,0.598,0.962,0.4478,1.68,1.68,1.08,2.18,1
2026-04-03,New Orleans Pelicans (-204) @ Sacramento Kings (+170),Saddiq Bey,C1,5.5,5.02,-0.48,8.7,UNDER,UNDER,6.5,0.8,HIGH,NORMAL,6|5|4|1|3|7|6,78,0.682,0.24,190,-135,-135,170,-204,0.375,0.625,0.759,0.2168,5.12,5.12,4.49,3.19,6
2026-04-03,Minnesota Timberwolves (+115) @ Philadelphia 76ers (-136),Adem Bona,C1,6.5,5.18,-1.32,20.3,UNDER,UNDER,9.9,0.8,MED,NORMAL,10|5|5|8|0|3|4,75,1.029,0.26,170,116,116,-136,115,0.444,0.556,0.9,0.4069,5.24,5.24,4.81,3.25,6
