date,game,player_name,cluster,line,prediction,edge,edge_pct,direction,pick,edge_score,ag_score,agreement,role_flag,last7_vals,confidence,model_std,blowout_risk,best_over_odds,best_under_odds,best_odds_for_bet,home_ml,away_ml,imp_over_prob,imp_under_prob,model_win_prob,kelly,m1_xgb,m4_mean,m5_context,m7_matchup,n_books,target,actual,result,profit_units
2026-04-04,Detroit Pistons (-144) @ Philadelphia 76ers (+118),Daniss Jenkins,C1,1.5,0.11,-1.39,92.7,UNDER,UNDER,8.9,0.8,HIGH,NORMAL,,100,0.101,0.29,100,-120,-120,118,-144,0.478,0.522,1,0.5,0,0,0,0.29,6,fg3m,NA,NA,NA
2026-04-04,San Antonio Spurs (-138) @ Denver Nuggets (+118),Nikola Jokic,C1,1.5,0.11,-1.39,92.7,UNDER,UNDER,8.9,0.8,HIGH,NORMAL,,100,0.105,0.29,190,120,120,118,-138,0.431,0.569,1,0.5,0,0,0,0.28,6,fg3m,NA,NA,NA
2026-04-04,Detroit Pistons (-144) @ Philadelphia 76ers (+118),Tobias Harris,C1,1.5,0.11,-1.39,92.7,UNDER,UNDER,8.9,0.8,HIGH,NORMAL,,100,0.295,0.05,178,-206,-206,118,-144,0.348,0.652,1,0.5,0,0,0,0.29,6,fg3m,NA,NA,NA
2026-04-04,San Antonio Spurs (-138) @ Denver Nuggets (+118),Aaron Gordon,C1,1.5,0.12,-1.38,92,UNDER,UNDER,8.9,0.8,HIGH,NORMAL,,100,0.37,0.18,125,-140,-140,118,-138,0.432,0.568,1,0.5,0.02,0,0,0.28,6,fg3m,NA,NA,NA
2026-04-04,Washington Wizards (+1100) @ Miami Heat (-2400),Davion Mitchell,C1,1.5,0.12,-1.38,92,UNDER,UNDER,8.9,0.8,HIGH,NORMAL,,100,0.371,0.2,128,-135,-135,-2400,1100,0.433,0.567,1,0.5,0,0,0,0.3,6,fg3m,NA,NA,NA
2026-04-04,Washington Wizards (+1100) @ Miami Heat (-2400),Tre Johnson,C1,1.5,0.11,-1.39,92.7,UNDER,UNDER,8.9,0.8,HIGH,NORMAL,,90,0.108,0.38,185,128,128,-2400,1100,0.444,0.556,1,0.5,0,0,0,0.29,5,fg3m,NA,NA,NA
2026-04-04,Washington Wizards (+1100) @ Miami Heat (-2400),Will Riley,C1,1.5,0.11,-1.39,92.7,UNDER,UNDER,8.9,0.8,HIGH,NORMAL,,90,0.108,0.48,-112,-110,-110,-2400,1100,0.502,0.498,1,0.5,0,0,0,0.29,5,fg3m,NA,NA,NA
2026-04-04,San Antonio Spurs (-138) @ Denver Nuggets (+118),Jamal Murray,C1,3.5,0.11,-3.39,96.9,UNDER,UNDER,14.2,0.8,MED,NORMAL,,80,0.797,0.29,133,-150,-150,118,-138,0.417,0.583,1,0.5,0,0,0,0.28,6,fg3m,NA,NA,NA
2026-04-04,San Antonio Spurs (-138) @ Denver Nuggets (+118),Cameron Johnson,C1,2.5,0.11,-2.39,95.6,UNDER,UNDER,12,0.8,MED,NORMAL,,80,0.889,0.26,154,145,145,118,-138,0.491,0.509,0.996,0.4966,0,0,0,0.28,6,fg3m,NA,NA,NA
2026-04-04,Washington Wizards (+1100) @ Miami Heat (-2400),Bilal Coulibaly,C1,1.5,0.11,-1.39,92.7,UNDER,UNDER,8.9,0.8,HIGH,NORMAL,,80,0.263,0.83,171,-220,-220,-2400,1100,0.349,0.651,1,0.5,0,0,0,0.29,5,fg3m,NA,NA,NA
2026-04-04,Detroit Pistons (-144) @ Philadelphia 76ers (+118),VJ Edgecombe,C1,1.5,0.11,-1.39,92.7,UNDER,UNDER,8.9,0.8,HIGH,NORMAL,,80,0.101,0.73,190,123,123,118,-144,0.435,0.565,1,0.5,0,0,0,0.27,6,fg3m,NA,NA,NA
2026-04-04,Washington Wizards (+1100) @ Miami Heat (-2400),Andrew Wiggins,C1,1.5,0.12,-1.38,92,UNDER,UNDER,8.9,0.8,MED,NORMAL,,80,0.827,0.27,190,140,140,-2400,1100,0.453,0.547,0.952,0.4589,0,0,0,0.3,6,fg3m,NA,NA,NA
2026-04-04,Charlotte Hornets (+2) @ Minnesota Timberwolves (-120),Kon Knueppel,C1,3.5,0.1,-3.4,97.1,UNDER,STRONG UNDER,14.2,0.8,HIGH,NORMAL,,78,0.098,0.32,148,-200,-200,-120.5,1.5,0.377,0.623,1,0.5,0,0,0,0.26,1,fg3m,NA,NA,NA
2026-04-04,Los Angeles Lakers (-260) @ Dallas Mavericks (+212),Cooper Flagg,C1,1.5,0.11,-1.39,92.7,UNDER,UNDER,8.9,0.8,HIGH,NORMAL,,78,0.1,0.48,162,-220,-220,212.5,-260,0.357,0.643,1,0.5,0,0,0,0.27,1,fg3m,NA,NA,NA
2026-04-04,Washington Wizards (+1100) @ Miami Heat (-2400),Pelle Larsson,C1,1.5,0.12,-1.38,92,UNDER,UNDER,8.9,0.8,HIGH,NORMAL,,78,0.109,0.3,199,-270,-270,-2400,1100,0.314,0.686,1,0.5,0,0,0,0.3,1,fg3m,NA,NA,NA
2026-04-04,Washington Wizards (+1100) @ Miami Heat (-2400),Tyler Herro,C1,2.5,0.12,-2.38,95.2,UNDER,UNDER,11.9,0.8,MED,NORMAL,,70,0.725,0.59,150,134,134,-2400,1100,0.483,0.517,0.999,0.4991,0,0,0,0.3,6,fg3m,NA,NA,NA
2026-04-04,San Antonio Spurs (-138) @ Denver Nuggets (+118),Julian Champagnie,C1,2.5,0.13,-2.37,94.8,UNDER,UNDER,11.9,0.8,MED,NORMAL,,70,0.784,0.46,140,-166,-166,118,-138,0.4,0.6,0.999,0.4987,0,0,0,0.32,6,fg3m,NA,NA,NA
2026-04-04,Washington Wizards (+1100) @ Miami Heat (-2400),Alex Sarr,C1,1.5,0.11,-1.39,92.7,UNDER,UNDER,8.9,0.8,MED,NORMAL,,70,0.474,0.35,210,166,166,-2400,1100,0.462,0.538,0.998,0.4984,0,0,0,0.29,5,fg3m,NA,NA,NA
2026-04-04,Detroit Pistons (-144) @ Philadelphia 76ers (+118),Quentin Grimes,C1,1.5,0.11,-1.39,92.7,UNDER,UNDER,8.9,0.8,MED,NORMAL,,70,0.806,0.38,110,-125,-125,118,-144,0.462,0.538,0.958,0.4527,0,0,0,0.27,6,fg3m,NA,NA,NA
2026-04-04,Washington Wizards (+1100) @ Miami Heat (-2400),Bam Adebayo,C1,1.5,0.12,-1.38,92,UNDER,UNDER,8.9,0.8,MED,NORMAL,,70,0.58,0.53,175,132,132,-2400,1100,0.458,0.542,0.991,0.4921,0,0,0,0.3,6,fg3m,NA,NA,NA
2026-04-04,San Antonio Spurs (-138) @ Denver Nuggets (+118),Keldon Johnson,C1,1.5,0.13,-1.37,91.3,UNDER,UNDER,8.8,0.8,MED,NORMAL,,70,0.533,0.46,145,-164,-164,118,-138,0.397,0.603,0.995,0.4934,0,0,0,0.32,6,fg3m,NA,NA,NA
2026-04-04,Charlotte Hornets (+2) @ Minnesota Timberwolves (-120),Naz Reid,C1,1.5,0.13,-1.37,91.3,UNDER,UNDER,8.8,0.8,MED,NORMAL,,68,0.673,0.2,-138,104,104,-120.5,1.5,0.542,0.458,0.979,0.4794,0,0,0,0.32,1,fg3m,NA,NA,NA
2026-04-04,Detroit Pistons (-144) @ Philadelphia 76ers (+118),Duncan Robinson,C1,2.5,0.11,-2.39,95.6,UNDER,UNDER,12,0.8,LOW,NORMAL,,65,1.104,0.14,180,105,105,118,-144,0.423,0.577,0.985,0.4854,0,0,0,0.29,6,fg3m,NA,NA,NA
2026-04-04,Detroit Pistons (-144) @ Philadelphia 76ers (+118),Kevin Huerter,C1,1.5,0.11,-1.39,92.7,UNDER,UNDER,8.9,0.8,LOW,NORMAL,,65,1.137,0.24,116,-135,-135,118,-144,0.446,0.554,0.889,0.3696,0,0,0,0.29,5,fg3m,NA,NA,NA
2026-04-04,Charlotte Hornets (+2) @ Minnesota Timberwolves (-120),Ayo Dosunmu,C1,1.5,0.13,-1.37,91.3,UNDER,UNDER,8.8,0.8,MED,NORMAL,,61,0.748,0.35,-114,-111,-111,-120.5,1.5,0.503,0.497,0.966,0.4641,0,0,0,0.32,2,fg3m,NA,NA,NA
